Trends in Number of COVID-19 Vaccinations in the US
Date generated: Fri Mar 26 2021 14:49:31 GMT-0400 (EDT)

Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2020-12-14,US,3659,3540,4,15951,14317,1359,7159,7975,680,null,null,5,14317,1394,697
Admin,2020-12-14,LTC,0,0,0,229,229,0,115,114,0,null,null,0,229,0,0
Admin,2020-12-15,US,48966,45540,25,64917,59857,1384,19952,21639,461,null,null,26,59857,1420,473
Admin,2020-12-15,LTC,0,0,0,229,229,0,76,76,0,null,null,0,229,0,0
Admin,2020-12-16,US,158374,151516,200,223291,211373,1584,52843,55822,396,null,null,202,211373,1622,405
Admin,2020-12-16,LTC,0,0,0,229,229,0,57,57,0,null,null,0,229,0,0
Admin,2020-12-17,US,271330,260512,486,494621,471885,2070,94377,98924,414,null,null,486,471885,2108,421
Admin,2020-12-17,LTC,5,5,0,234,234,0,47,46,0,null,null,0,234,0,0
Admin,2020-12-18,US,412532,401163,577,907153,873048,2647,145508,151192,441,null,null,577,873048,2685,447
Admin,2020-12-18,LTC,1518,1319,0,1752,1553,0,259,292,0,null,null,0,1553,0,0
Admin,2020-12-19,US,179988,175341,703,1087141,1048389,3350,149770,155305,479,null,null,704,1048389,3389,484
Report,2020-12-19,US,null,null,null,null,null,null,null,null,null,187508,63093,null,null,null,null
Admin,2020-12-19,LTC,323,323,0,2075,1876,0,268,296,0,null,null,0,1876,0,0
Admin,2020-12-20,US,102730,100573,473,1189871,1148962,3823,162598,168225,353,null,null,474,1148962,3863,353
Report,2020-12-20,US,null,null,null,null,null,null,null,null,null,209853,93072,null,null,null,null
Admin,2020-12-20,LTC,211,211,0,2286,2087,0,265,293,0,null,null,0,2087,0,0
Admin,2020-12-21,US,376765,368376,793,1566636,1517338,4616,214717,221526,465,null,null,796,1517338,4659,466
Admin,2020-12-21,LTC,14164,14000,0,16450,16087,0,2265,2317,0,null,null,0,16087,0,0
Admin,2020-12-22,US,443018,433894,1905,2009654,1951232,6521,270196,277819,734,null,null,1906,1951232,6565,735
Report,2020-12-22,US,null,null,null,null,null,null,null,null,null,189722,139792,null,null,null,null
Admin,2020-12-22,LTC,16783,16561,9,33233,32648,9,4631,4714,1,null,null,9,32648,9,1
Admin,2020-12-23,US,560505,548499,1597,2570159,2499731,8118,326908,335266,933,null,null,1597,2499731,8162,934
Report,2020-12-23,US,null,null,null,null,null,null,null,null,null,368173,186817,null,null,null,null
Admin,2020-12-23,LTC,22750,20179,13,55983,52827,22,7514,7964,3,null,null,13,52827,22,3
Admin,2020-12-24,US,191475,185965,838,2761634,2685696,8956,316259,323859,984,null,null,839,2685696,9001,984
Report,2020-12-24,US,null,null,null,null,null,null,null,null,null,338436,224350,null,null,null,null
Admin,2020-12-24,LTC,2042,2026,16,58025,54853,38,7803,8255,5,null,null,16,54853,38,5
Admin,2020-12-25,US,11951,11859,38,2773585,2697555,8994,260644,266633,907,null,null,38,2697555,9039,907
Report,2020-12-25,US,null,null,null,null,null,null,null,null,null,336145,254256,null,null,null,null
Admin,2020-12-25,LTC,115,115,0,58140,54968,38,7631,8055,5,null,null,0,54968,38,5
Admin,2020-12-26,US,136729,134275,323,2910314,2831830,9317,254777,260453,852,null,null,325,2831830,9364,853
Report,2020-12-26,US,null,null,null,null,null,null,null,null,null,156478,249823,null,null,null,null
Admin,2020-12-26,LTC,9368,9241,13,67508,64209,51,8905,9347,7,null,null,13,64209,51,7
Admin,2020-12-27,US,91840,89981,301,3002154,2921811,9618,253264,258897,828,null,null,302,2921811,9666,829
Admin,2020-12-27,LTC,8948,8822,8,76456,73031,59,10135,10595,8,null,null,8,73031,59,8
Admin,2020-12-28,US,568571,554591,2187,3570725,3476402,11805,279866,286298,1027,null,null,2188,3476402,11854,1027
Report,2020-12-28,US,null,null,null,null,null,null,null,null,null,156220,229595,null,null,null,null
Admin,2020-12-28,LTC,59655,59047,20,136111,132078,79,16570,17094,11,null,null,20,132078,79,11
Admin,2020-12-29,US,697594,676870,2703,4268319,4153272,14508,314577,322666,1141,null,null,2705,4153272,14559,1142
Report,2020-12-29,US,null,null,null,null,null,null,null,null,null,314677,247446,null,null,null,null
Admin,2020-12-29,LTC,79379,78261,75,215490,210339,154,25384,26036,21,null,null,75,210339,154,20
Admin,2020-12-30,US,815771,793293,4820,5084090,4946565,19328,349548,359133,1601,null,null,4823,4946565,19382,1602
Report,2020-12-30,US,null,null,null,null,null,null,null,null,null,441549,257928,null,null,null,null
Admin,2020-12-30,LTC,77364,76272,247,292854,286611,401,33398,33838,54,null,null,247,286611,401,54
Admin,2020-12-31,US,409116,397819,1805,5493206,5344384,21133,379813,390224,1740,null,null,1805,5344384,21187,1740
Report,2020-12-31,US,null,null,null,null,null,null,null,null,null,573278,291477,null,null,null,null
Admin,2020-12-31,LTC,16134,16057,70,308988,302668,471,35402,35851,62,null,null,70,302668,471,61
Admin,2021-01-01,US,42133,40246,1130,5535339,5384630,22263,383868,394536,1896,null,null,1158,5384630,22345,1900
Report,2021-01-01,US,null,null,null,null,null,null,null,null,null,434528,305532,null,null,null,null
Admin,2021-01-01,LTC,1608,1604,4,310596,304272,475,35615,36065,62,null,null,4,304272,475,62
Admin,2021-01-02,US,246486,239840,2036,5781825,5624470,24299,398949,410215,2140,null,null,2038,5624470,24383,2145
Report,2021-01-02,US,null,null,null,null,null,null,null,null,null,290402,324664,null,null,null,null
Admin,2021-01-02,LTC,46375,45714,38,356971,349986,513,40825,41351,66,null,null,38,349986,513,66
Admin,2021-01-03,US,127861,121698,2037,5909686,5746168,26336,403480,415361,2388,null,null,2038,5746168,26421,2393
Report,2021-01-03,US,null,null,null,null,null,null,null,null,null,185279,342276,null,null,null,null
Admin,2021-01-03,LTC,32503,31818,57,389474,381804,570,44110,44716,73,null,null,57,381804,570,73
Admin,2021-01-04,US,620553,566495,41401,6530239,6312663,67737,405180,422787,7990,null,null,41405,6312663,67826,7996
Report,2021-01-04,US,null,null,null,null,null,null,null,null,null,239472,354169,null,null,null,null
Admin,2021-01-04,LTC,85720,84831,58,475194,466635,628,47794,48440,78,null,null,58,466635,628,78
Admin,2021-01-05,US,779276,684837,81242,7309515,6997500,148979,406318,434456,19210,null,null,81247,6997500,149073,19216
Report,2021-01-05,US,null,null,null,null,null,null,null,null,null,337114,357375,null,null,null,null
Admin,2021-01-05,LTC,96645,96055,103,571839,562690,731,50336,50907,82,null,null,103,562690,731,82
Admin,2021-01-06,US,968761,787457,164612,8278276,7784957,313591,405485,456312,42038,null,null,164621,7784957,313694,42044
Report,2021-01-06,US,null,null,null,null,null,null,null,null,null,600055,380018,null,null,null,null
Admin,2021-01-06,LTC,94816,93931,174,666655,656621,905,52859,53400,72,null,null,174,656621,905,72
Admin,2021-01-07,US,1109343,821948,266519,9387619,8606905,580110,466074,556344,79854,null,null,266521,8606905,580215,79861
Report,2021-01-07,US,null,null,null,null,null,null,null,null,null,730700,402507,null,null,null,null
Admin,2021-01-07,LTC,123045,121871,340,789700,778492,1245,67975,68673,111,null,null,340,778492,1245,110
Admin,2021-01-08,US,1174706,804780,347731,10562325,9411685,927841,575294,718140,129368,null,null,347736,9411685,927951,129372
Report,2021-01-08,US,null,null,null,null,null,null,null,null,null,870465,464784,null,null,null,null
Admin,2021-01-08,LTC,113837,111755,1248,903537,890247,2493,83711,84705,288,null,null,1248,890247,2493,288
Admin,2021-01-09,US,483437,353009,123120,11045762,9764694,1050961,591461,751991,146666,null,null,123121,9764694,1051072,146669
Report,2021-01-09,US,null,null,null,null,null,null,null,null,null,790484,536224,null,null,null,null
Admin,2021-01-09,LTC,50492,49583,336,954029,939830,2829,84263,85294,331,null,null,336,939830,2829,330
Admin,2021-01-10,US,234031,164020,66533,11279793,9928714,1117494,597507,767158,155880,null,null,66534,9928714,1117606,155883
Report,2021-01-10,US,null,null,null,null,null,null,null,null,null,727095,613626,null,null,null,null
Admin,2021-01-10,LTC,35505,35015,283,989534,974845,3112,84720,85722,363,null,null,283,974845,3112,363
Admin,2021-01-11,US,1013555,685209,310363,12293348,10613923,1427857,614466,823301,194303,null,null,310370,10613923,1427976,194307
