Trends in Number of COVID-19 Vaccinations in the US
Date generated: Sun Mar 14 2021 15:16:43 GMT-0400 (EDT)

Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2020-12-14,US,3628,3509,4,15763,14130,1359,7065,7881,680,null,null,4,14130,1363,681
Admin,2020-12-14,LTC,0,0,0,229,229,0,115,114,0,null,null,0,229,0,0
Admin,2020-12-15,US,48823,45399,25,64586,59529,1384,19843,21528,461,null,null,26,59529,1389,463
Admin,2020-12-15,LTC,0,0,0,229,229,0,76,76,0,null,null,0,229,0,0
Admin,2020-12-16,US,157870,151018,196,222456,210547,1580,52637,55614,395,null,null,196,210547,1585,396
Admin,2020-12-16,LTC,0,0,0,229,229,0,57,57,0,null,null,0,229,0,0
Admin,2020-12-17,US,270580,259786,476,493036,470333,2056,94067,98607,411,null,null,476,470333,2061,412
Report,2020-12-17,US,null,null,null,null,null,null,null,null,null,75708,25468,null,null,null,null
Admin,2020-12-17,LTC,5,5,0,234,234,0,47,46,0,null,null,0,234,0,0
Admin,2020-12-18,US,411193,399988,558,904229,870321,2614,145054,150704,436,null,null,558,870321,2619,436
Report,2020-12-18,US,null,null,null,null,null,null,null,null,null,126800,42357,null,null,null,null
Admin,2020-12-18,LTC,1518,1319,0,1752,1553,0,259,292,0,null,null,0,1553,0,0
Admin,2020-12-19,US,179578,175020,689,1083807,1045341,3303,149334,154829,472,null,null,689,1045341,3308,472
Report,2020-12-19,US,null,null,null,null,null,null,null,null,null,187508,63093,null,null,null,null
Admin,2020-12-19,LTC,323,323,0,2075,1876,0,268,296,0,null,null,0,1876,0,0
Admin,2020-12-20,US,102403,100284,451,1186210,1145625,3754,162143,167725,343,null,null,452,1145625,3760,343
Report,2020-12-20,US,null,null,null,null,null,null,null,null,null,209853,93072,null,null,null,null
Admin,2020-12-20,LTC,211,211,0,2286,2087,0,265,293,0,null,null,0,2087,0,0
Admin,2020-12-21,US,375969,367712,729,1562179,1513337,4483,214172,220916,446,null,null,730,1513337,4490,446
Report,2020-12-21,US,null,null,null,null,null,null,null,null,null,149957,114422,null,null,null,null
Admin,2020-12-21,LTC,14150,13987,0,16436,16074,0,2264,2315,0,null,null,0,16074,0,0
Admin,2020-12-22,US,442259,433182,1870,2004438,1946519,6353,269570,277121,710,null,null,1870,1946519,6360,710
Report,2020-12-22,US,null,null,null,null,null,null,null,null,null,189722,139792,null,null,null,null
Admin,2020-12-22,LTC,16782,16560,9,33218,32634,9,4629,4712,1,null,null,9,32634,9,1
Admin,2020-12-23,US,559591,547642,1574,2564029,2494161,7927,326231,334510,907,null,null,1574,2494161,7934,907
Report,2020-12-23,US,null,null,null,null,null,null,null,null,null,368173,186817,null,null,null,null
Admin,2020-12-23,LTC,22724,20155,13,55942,52789,22,7509,7959,3,null,null,13,52789,22,3
Admin,2020-12-24,US,191194,185704,825,2755223,2679865,8752,315647,323169,957,null,null,825,2679865,8759,956
Report,2020-12-24,US,null,null,null,null,null,null,null,null,null,338436,224350,null,null,null,null
Admin,2020-12-24,LTC,2042,2026,16,57984,54815,38,7797,8250,5,null,null,16,54815,38,5
Admin,2020-12-25,US,11897,11808,35,2767120,2691673,8787,260193,266127,882,null,null,35,2691673,8794,882
Report,2020-12-25,US,null,null,null,null,null,null,null,null,null,336145,254256,null,null,null,null
Admin,2020-12-25,LTC,115,115,0,58099,54930,38,7625,8049,5,null,null,0,54930,38,5
Admin,2020-12-26,US,136444,134011,304,2903564,2825684,9091,254335,259965,827,null,null,304,2825684,9098,827
Report,2020-12-26,US,null,null,null,null,null,null,null,null,null,156478,249823,null,null,null,null
Admin,2020-12-26,LTC,9328,9204,13,67427,64134,51,8894,9336,7,null,null,13,64134,51,7
Admin,2020-12-27,US,91578,89734,286,2995142,2915418,9377,252828,258418,803,null,null,286,2915418,9384,803
Report,2020-12-27,US,null,null,null,null,null,null,null,null,null,61992,228700,null,null,null,null
Admin,2020-12-27,LTC,8929,8805,8,76356,72939,59,10122,10581,8,null,null,8,72939,59,8
Admin,2020-12-28,US,567372,553488,2126,3562514,3468906,11503,279367,285762,1003,null,null,2126,3468906,11510,1002
Report,2020-12-28,US,null,null,null,null,null,null,null,null,null,156220,229595,null,null,null,null
Admin,2020-12-28,LTC,59344,58740,20,135700,131679,79,16515,17037,11,null,null,20,131679,79,11
Admin,2020-12-29,US,696498,675921,2636,4259012,4144827,14139,314044,322082,1112,null,null,2637,4144827,14147,1112
Report,2020-12-29,US,null,null,null,null,null,null,null,null,null,314677,247446,null,null,null,null
Admin,2020-12-29,LTC,79237,78120,75,214937,209799,154,25309,25959,21,null,null,75,209799,154,20
Admin,2020-12-30,US,814094,791822,4717,5073106,4936649,18856,348927,358439,1561,null,null,4718,4936649,18865,1561
Report,2020-12-30,US,null,null,null,null,null,null,null,null,null,441549,257928,null,null,null,null
Admin,2020-12-30,LTC,77257,76168,247,292194,285967,401,33311,33750,54,null,null,247,285967,401,54
Admin,2020-12-31,US,408610,397396,1738,5481716,5334045,20594,379169,389499,1692,null,null,1738,5334045,20603,1692
Report,2020-12-31,US,null,null,null,null,null,null,null,null,null,573278,291477,null,null,null,null
Admin,2020-12-31,LTC,16131,16054,70,308325,302021,471,35315,35763,62,null,null,70,302021,471,61
Admin,2021-01-01,US,40734,38972,1018,5522450,5373017,21612,383049,393618,1832,null,null,1028,5373017,21631,1833
Report,2021-01-01,US,null,null,null,null,null,null,null,null,null,434528,305532,null,null,null,null
Admin,2021-01-01,LTC,1592,1588,4,309917,303609,475,35526,35974,62,null,null,4,303609,475,62
Admin,2021-01-02,US,245570,238980,1996,5768020,5611997,23608,398045,409208,2074,null,null,1998,5611997,23629,2075
Report,2021-01-02,US,null,null,null,null,null,null,null,null,null,290402,324664,null,null,null,null
Admin,2021-01-02,LTC,46235,45576,38,356152,349185,513,40722,41246,66,null,null,38,349185,513,66
Admin,2021-01-03,US,127397,121291,1995,5895417,5733288,25603,402553,414325,2318,null,null,1995,5733288,25624,2320
Report,2021-01-03,US,null,null,null,null,null,null,null,null,null,185279,342276,null,null,null,null
Admin,2021-01-03,LTC,32440,31757,57,388592,380942,570,44000,44605,73,null,null,57,380942,570,73
Admin,2021-01-04,US,619140,565319,41231,6514557,6298607,66834,404243,421720,7904,null,null,41232,6298607,66856,7906
Report,2021-01-04,US,null,null,null,null,null,null,null,null,null,239472,354169,null,null,null,null
Admin,2021-01-04,LTC,85582,84704,58,474174,465646,628,47710,48353,78,null,null,58,465646,628,78
Admin,2021-01-05,US,776584,682706,80805,7291141,6981313,147639,405212,433161,19071,null,null,80808,6981313,147664,19073
Report,2021-01-05,US,null,null,null,null,null,null,null,null,null,337114,357375,null,null,null,null
Admin,2021-01-05,LTC,96530,95943,103,570704,561589,731,50256,50823,82,null,null,103,561589,731,82
Admin,2021-01-06,US,965698,785222,163897,8256839,7766535,311536,404269,454819,41811,null,null,163902,7766535,311566,41814
Report,2021-01-06,US,null,null,null,null,null,null,null,null,null,600055,380018,null,null,null,null
Admin,2021-01-06,LTC,94712,93830,174,665416,655419,905,52779,53317,72,null,null,174,655419,905,72
Admin,2021-01-07,US,1107237,820896,265582,9364076,8587431,577118,464769,554622,79503,null,null,265583,8587431,577149,79506
Report,2021-01-07,US,null,null,null,null,null,null,null,null,null,730700,402507,null,null,null,null
Admin,2021-01-07,LTC,122875,121709,338,788291,777128,1243,67872,68566,110,null,null,338,777128,1243,110
Admin,2021-01-08,US,1171434,802824,346769,10535510,9390255,923887,573891,716151,128896,null,null,346772,9390255,923921,128898
Report,2021-01-08,US,null,null,null,null,null,null,null,null,null,870465,464784,null,null,null,null
Admin,2021-01-08,LTC,113736,111657,1247,902027,888785,2490,83597,84587,288,null,null,1247,888785,2490,287
Admin,2021-01-09,US,482275,352207,122831,11017785,9742462,1046718,590066,749966,146159,null,null,122831,9742462,1046752,146160
Report,2021-01-09,US,null,null,null,null,null,null,null,null,null,790484,536224,null,null,null,null
Admin,2021-01-09,LTC,50452,49544,336,952479,938329,2826,84163,85189,330,null,null,336,938329,2826,330
Admin,2021-01-10,US,232843,163053,66348,11250628,9905515,1113066,596032,765030,155352,null,null,66349,9905515,1113101,155353
Report,2021-01-10,US,null,null,null,null,null,null,null,null,null,727095,613626,null,null,null,null
Admin,2021-01-10,LTC,35494,35004,283,987973,973333,3109,84627,85625,363,null,null,283,973333,3109,362
Admin,2021-01-11,US,1008632,681734,309207,12259260,10587249,1422273,612663,820671,193634,null,null,309210,10587249,1422311,193636
Report,2021-01-11,US,null,null,null,null,null,null,null,null,null,419440,639336,null,null,null,null
Admin,2021-01-11,LTC,143177,130919,11357,1131150,1104252,14466,91229,93853,1977,null,null,11357,1104252,14466,1976
Admin,2021-01-12,US,1181488,862090,300288,13440748,11449339,1722561,638289,878515,224989,null,null,300290,11449339,1722601,224991
Report,2021-01-12,US,null,null,null,null,null,null,null,null,null,516858,665014,null,null,null,null
Admin,2021-01-12,LTC,156261,141946,13401,1287411,1246198,27867,97801,102386,3877,null,null,13401,1246198,27867,3876
Admin,2021-01-13,US,1251446,978025,256376,14692194,12427364,1978937,665833,919336,238200,null,null,256379,12427364,1978980,238202
Report,2021-01-13,US,null,null,null,null,null,null,null,null,null,987485,720361,null,null,null,null
Admin,2021-01-13,LTC,159735,143108,15777,1447146,1389306,43644,104841,111675,6106,null,null,15777,1389306,43644,6105
Admin,2021-01-14,US,1246936,1104397,126487,15939130,13531761,2105424,706333,939293,218329,null,null,126490,13531761,2105470,218331
Report,2021-01-14,US,null,null,null,null,null,null,null,null,null,1093867,772242,null,null,null,null
Admin,2021-01-14,LTC,141162,137562,2984,1588308,1526868,46628,107106,114288,6484,null,null,2984,1526868,46628,6483
Admin,2021-01-15,US,1188608,1065704,111352,17127738,14597465,2216776,743887,941746,184698,null,null,111355,14597465,2216825,184700
Report,2021-01-15,US,null,null,null,null,null,null,null,null,null,956233,784495,null,null,null,null
Admin,2021-01-15,LTC,112729,110230,1461,1701037,1637098,48089,106902,114144,6514,null,null,1461,1637098,48089,6514
Admin,2021-01-16,US,616471,545539,66072,17744209,15143004,2282848,771506,960917,176590,null,null,66075,15143004,2282900,176592
Report,2021-01-16,US,null,null,null,null,null,null,null,null,null,1141043,834574,null,null,null,null
Admin,2021-01-16,LTC,64218,56522,7032,1765255,1693620,55121,107899,116110,7471,null,null,7032,1693620,55121,7470
Admin,2021-01-17,US,284230,244286,37997,18028439,15387290,2320845,783111,968258,172540,null,null,37997,15387290,2320897,172542
Report,2021-01-17,US,null,null,null,null,null,null,null,null,null,856109,853005,null,null,null,null
Admin,2021-01-17,LTC,49001,43123,5636,1814256,1736743,60757,109059,118040,8235,null,null,5636,1736743,60757,8235
Admin,2021-01-18,US,812272,597274,209333,18840711,15984564,2530178,771045,940207,158272,null,null,209336,15984564,2530233,158274
Report,2021-01-18,US,null,null,null,null,null,null,null,null,null,548050,871378,null,null,null,null
Admin,2021-01-18,LTC,170108,129170,40344,1984364,1865913,101101,108809,121887,12376,null,null,40344,1865913,101101,12376
Admin,2021-01-19,US,1266915,925054,327033,20107626,16909618,2857211,780040,952411,162093,null,null,327034,16909618,2857267,162095
Report,2021-01-19,US,null,null,null,null,null,null,null,null,null,621154,886277,null,null,null,null
Admin,2021-01-19,LTC,180140,131988,47455,2164504,1997901,148556,107386,125299,17241,null,null,47455,1997901,148556,17241
Admin,2021-01-20,US,1531393,1122500,391694,21639019,18032118,3248905,800679,992403,181424,null,null,391694,18032118,3248961,181425
Report,2021-01-20,US,null,null,null,null,null,null,null,null,null,441318,808253,null,null,null,null
Admin,2021-01-20,LTC,190734,146750,43269,2355238,2144651,191825,107906,129727,21169,null,null,43269,2144651,191825,21168
Admin,2021-01-21,US,1547823,1277279,252017,23186842,19309397,3500922,825377,1035387,199357,null,null,252020,19309397,3500981,199358
Report,2021-01-21,US,null,null,null,null,null,null,null,null,null,1021093,797857,null,null,null,null
Admin,2021-01-21,LTC,144003,132469,10961,2499241,2277120,202786,107179,130133,22308,null,null,10961,2277120,202786,22308
Admin,2021-01-22,US,1542877,1333169,193720,24729719,20642566,3694642,863586,1085997,211124,null,null,193727,20642566,3694708,211126
Report,2021-01-22,US,null,null,null,null,null,null,null,null,null,1561585,884336,null,null,null,null
Admin,2021-01-22,LTC,126727,121791,4466,2625968,2398911,207252,108830,132133,22738,null,null,4466,2398911,207252,22737
Admin,2021-01-23,US,861419,713383,138387,25591138,21355949,3833029,887564,1120989,221454,null,null,138387,21355949,3833095,221456
Report,2021-01-23,US,null,null,null,null,null,null,null,null,null,1430031,925620,null,null,null,null
Admin,2021-01-23,LTC,96390,68034,27885,2722358,2466945,235137,110475,136729,25717,null,null,27885,2466945,235137,25716
Admin,2021-01-24,US,370782,286828,79575,25961920,21642777,3912604,893641,1133354,227394,null,null,79576,21642777,3912671,227396
Report,2021-01-24,US,null,null,null,null,null,null,null,null,null,1310665,990557,null,null,null,null
Admin,2021-01-24,LTC,63133,43590,19269,2785491,2510535,254406,110542,138747,27664,null,null,19269,2510535,254406,27664
Admin,2021-01-25,US,1281959,819005,447996,27243879,22461782,4360600,925317,1200452,261489,null,null,448000,22461782,4360671,261491
Report,2021-01-25,US,null,null,null,null,null,null,null,null,null,885588,1038776,null,null,null,null
Admin,2021-01-25,LTC,184475,126152,57265,2969966,2636687,311671,110111,140800,30081,null,null,57265,2636687,311671,30081
